力量コード  ###[license_code]###,力量名  ###[license_name]###,力量カテゴリーコード  ###[competence_category_code]###,力量カテゴリー,力量レベルパターンコード ###[competence_scale_code]###,もうすぐ有効期限切れ（有効期限の〇日前）  ###[notify_expiration_timing_date_before]###,メール通知  ###[notify_email]###,概要  ###[overview]###,URL  ###[urls]###,有効期限切れの表示  ###[expired_highlight]###,管理者への公開  ###[competence_publish_type]###,発行元  ###[publisher]###,根拠法令  ###[ground_decree]###,選任有無  ###[with_full_time]###,有効期限  ###[with_effective_period]###,取得費用  ###[acquisition_cost]###,更新費用  ###[renewal_cost]###,使用プロジェクト,使用できるプロジェクト,使用力量マップ,有効期間の指定  ###[calculation_switch_type]###,有効期間の種類  ###[calculation_type]###,有効期間（年数）  ###[period_years]###,有効期間（月数）  ###[period_months]###,有効期間（暦月）  ###[specified_month]###,有効期間（日）  ###[date_type]###,有効期限の自動計算  ###[auto_calculation_enabled]###,有効期限の手動修正  ###[changeable_after_calculation]###,[育成計画の初期値]概要  ###[initial_value_training_plan_overview]###,[育成計画の初期値]内部講師（メンバーコード）  ###[initial_value_training_plan_internal_lecturer_code]###,[育成計画の初期値]社外講師  ###[initial_value_training_plan_external_lecturer_name]###,[育成計画の初期値]有効性評価の方法  ###[initial_value_training_plan_effectiveness_evaluation_method]###,[育成計画の初期値]受講者による受講結果の編集  ###[initial_value_training_plan_edit_individual_record_by_attendees]###,[育成計画の初期値]他プロジェクトによる受講結果の編集  ###[initial_value_training_plan_edit_individual_record_by_other_projects]###
LIC00001,設計有資格者,CTG301010100,資格＞社内資格＞ISO＞設計管理規定,LICENSE_DEFAULT,0,通知しない,"下記のいずれかの条件を満たす者を設計の有資格者として開発の設計部門の部長又は次長が認定する。 (開発の設計部門とは設計Ｇ及びデザイン室をいう。但しデザイン業務については３)で規定する)
①設計部門又は生産技術部の業務を２年以上経験した者
②社内の昇格試験技術コース４級以上であり、設計部門又は生産技術部の業務を今までに１年以上経験した者（業務の経験時の資格級数は、問わない）。
③開発の設計部門の部長又は次長により、設計する能力があると特別に認められた者。",,強調する,全メンバーに公開,,,なし,なし,0,0,"01_確認用 , 00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"1SEC-資格 , 2SEC-資格 , 3SEC-資格 , プロトSEC-資格 , 新技術推進部ー資格 , サンプルデータ , 3G1-資格 , 3G2-資格 , 3G3-資格 , 2G1SEC-資格 , 4G-資格 , 4G1SEC-資格 , 4G2SEC-資格 , 4G3SEC-資格 , 5G-資格 , 5G1SEC-資格 , 5G2SEC-資格 , 5G3SEC-資格 , 5G4SEC-資格 , 5G5SEC-資格 , 開発本部－資格 , 5SEC-資格 , 3G-資格 , 第2SEC－資格 , 2G-資格 , 6G－資格 , 第1SEC－資格 , 1G-資格 , 4SEC-資格 , 2G2SEC-資格 , 2G3SEC-資格",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
LIC00002,設計審査有資格者,CTG301010100,資格＞社内資格＞ISO＞設計管理規定,LICENSE_DEFAULT,0,通知しない,"下記いずれかの条件を満たす者を設計審査の有資格者として開発本部の部長又は次長が認定する。
①社内の昇格試験で技術コース又は技能コース６級以上
②設計有資格者で設計部門の主任以上",,強調する,全メンバーに公開,,,なし,なし,0,0,"01_確認用 , 00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"1SEC-資格 , 2SEC-資格 , 3SEC-資格 , プロトSEC-資格 , サンプルデータ , 3G1-資格 , 3G2-資格 , 3G3-資格 , 2G1SEC-資格 , 4G-資格 , 4G1SEC-資格 , 4G2SEC-資格 , 4G3SEC-資格 , 5G-資格 , 5G1SEC-資格 , 5G2SEC-資格 , 5G3SEC-資格 , 新技術推進部ー資格 , 5G4SEC-資格 , 5G5SEC-資格 , 開発本部－資格 , 5SEC-資格 , 3G-資格 , 第2SEC－資格 , 2G-資格 , 6G－資格 , 第1SEC－資格 , 1G-資格 , 4SEC-資格 , 2G2SEC-資格 , 2G3SEC-資格",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
LIC00003,設計検証及び設計の妥当性確認有資格者,CTG301010100,資格＞社内資格＞ISO＞設計管理規定,LICENSE_DEFAULT,0,通知しない,設計有資格者であり設計部門の主任以上で設計部門の部長又は次長が認定した者,,強調する,全メンバーに公開,,,なし,なし,0,0,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"1SEC-資格 , 2SEC-資格 , 3SEC-資格 , プロトSEC-資格 , 3G1-資格 , 3G2-資格 , 3G3-資格 , 2G1SEC-資格 , 4G-資格 , 4G1SEC-資格 , 4G2SEC-資格 , 4G3SEC-資格 , 5G-資格 , 5G1SEC-資格 , 5G2SEC-資格 , 5G3SEC-資格 , 新技術推進部ー資格 , 5G4SEC-資格 , 5G5SEC-資格 , 開発本部－資格 , 5SEC-資格 , 3G-資格 , 第2SEC－資格 , 2G-資格 , 6G－資格 , 第1SEC－資格 , 1G-資格 , 4SEC-資格 , 2G2SEC-資格 , 2G3SEC-資格",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
LIC00004,機械設計技術者試験 ３級,CTG302010100,資格＞社外資格＞社内資格要件　5級＞メカ,LICENSE_DEFAULT,0,通知しない,,,強調する,全メンバーに公開,,,なし,なし,0,0,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"1SEC-資格 , 2SEC-資格 , 3SEC-資格 , プロトSEC-資格 , 3G1-資格 , 3G2-資格 , 3G3-資格 , 4G-資格 , 4G1SEC-資格 , 4G2SEC-資格 , 5G-資格 , 5G1SEC-資格 , 5G2SEC-資格 , 5G3SEC-資格 , 新技術推進部ー資格 , 5G4SEC-資格 , 開発本部－資格 , 5SEC-資格 , 3G-資格 , 2G-資格 , 1G-資格 , 4SEC-資格 , 2G3SEC-資格",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
LIC00005,技能検定 2級（機械･プラント製図／ＣＡＤ作業）,CTG302010100,資格＞社外資格＞社内資格要件　5級＞メカ,LICENSE_DEFAULT,0,通知しない,,,強調する,全メンバーに公開,,,なし,なし,0,0,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"1SEC-資格 , 2SEC-資格 , 3SEC-資格 , プロトSEC-資格 , 3G1-資格 , 3G2-資格 , 3G3-資格 , 4G-資格 , 4G1SEC-資格 , 4G2SEC-資格 , 5G-資格 , 5G1SEC-資格 , 5G2SEC-資格 , 5G3SEC-資格 , 新技術推進部ー資格 , 5G4SEC-資格 , 開発本部－資格 , 5SEC-資格 , 3G-資格 , 2G-資格 , 1G-資格 , 4SEC-資格 , 2G3SEC-資格",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
LIC00006,技能検定 2級（化学分析）,CTG302010100,資格＞社外資格＞社内資格要件　5級＞メカ,LICENSE_DEFAULT,0,通知しない,,,強調する,全メンバーに公開,,,なし,なし,0,0,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"1SEC-資格 , 2SEC-資格 , 3SEC-資格 , プロトSEC-資格 , 3G1-資格 , 3G2-資格 , 3G3-資格 , 4G-資格 , 4G1SEC-資格 , 4G2SEC-資格 , 5G-資格 , 5G1SEC-資格 , 5G2SEC-資格 , 5G3SEC-資格 , 新技術推進部ー資格 , 5G4SEC-資格 , 開発本部－資格 , 5SEC-資格 , 3G-資格 , 2G-資格 , 1G-資格 , 4SEC-資格 , 2G3SEC-資格",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
LIC00007,技能検定 2級（金属設処理）,CTG302010100,資格＞社外資格＞社内資格要件　5級＞メカ,LICENSE_DEFAULT,0,通知しない,,,強調する,全メンバーに公開,,,なし,なし,0,0,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"1SEC-資格 , 2SEC-資格 , 3SEC-資格 , プロトSEC-資格 , 3G1-資格 , 3G2-資格 , 3G3-資格 , 4G-資格 , 4G1SEC-資格 , 4G2SEC-資格 , 5G-資格 , 5G1SEC-資格 , 5G2SEC-資格 , 5G3SEC-資格 , 新技術推進部ー資格 , 5G4SEC-資格 , 開発本部－資格 , 5SEC-資格 , 3G-資格 , 2G-資格 , 1G-資格 , 4SEC-資格 , 2G3SEC-資格",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
LIC00008,技能検定 2級（プラ成型）,CTG302010100,資格＞社外資格＞社内資格要件　5級＞メカ,LICENSE_DEFAULT,0,通知しない,,,強調する,全メンバーに公開,,,なし,なし,0,0,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"1SEC-資格 , 2SEC-資格 , 3SEC-資格 , プロトSEC-資格 , 3G1-資格 , 3G2-資格 , 3G3-資格 , 4G-資格 , 4G1SEC-資格 , 4G2SEC-資格 , 5G-資格 , 5G1SEC-資格 , 5G2SEC-資格 , 5G3SEC-資格 , 新技術推進部ー資格 , 5G4SEC-資格 , 開発本部－資格 , 5SEC-資格 , 3G-資格 , 2G-資格 , 1G-資格 , 4SEC-資格 , 2G3SEC-資格",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
LIC00009,技能検定 2級（機械加工）,CTG302010100,資格＞社外資格＞社内資格要件　5級＞メカ,LICENSE_DEFAULT,0,通知しない,,,強調する,全メンバーに公開,,,なし,なし,0,0,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"1SEC-資格 , 2SEC-資格 , 3SEC-資格 , プロトSEC-資格 , 3G1-資格 , 3G2-資格 , 3G3-資格 , 4G-資格 , 4G1SEC-資格 , 4G2SEC-資格 , 5G-資格 , 5G1SEC-資格 , 5G2SEC-資格 , 5G3SEC-資格 , 新技術推進部ー資格 , 5G4SEC-資格 , 開発本部－資格 , 5SEC-資格 , 3G-資格 , 2G-資格 , 1G-資格 , 4SEC-資格 , 2G3SEC-資格",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
LIC00010,技能検定 2級（金属プレス加工）,CTG302010100,資格＞社外資格＞社内資格要件　5級＞メカ,LICENSE_DEFAULT,0,通知しない,,,強調する,全メンバーに公開,,,なし,なし,0,0,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"1SEC-資格 , 2SEC-資格 , 3SEC-資格 , プロトSEC-資格 , 3G1-資格 , 3G2-資格 , 3G3-資格 , 4G-資格 , 4G1SEC-資格 , 4G2SEC-資格 , 5G-資格 , 5G1SEC-資格 , 5G2SEC-資格 , 5G3SEC-資格 , 新技術推進部ー資格 , 5G4SEC-資格 , 開発本部－資格 , 5SEC-資格 , 3G-資格 , 2G-資格 , 1G-資格 , 4SEC-資格 , 2G3SEC-資格",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
