力量カテゴリーコード ###[competence_category_code]###,力量カテゴリー名  ###[competence_category_name_1]###,力量カテゴリー名  ###[competence_category_name_2]###,力量カテゴリー名  ###[competence_category_name_3]###,力量カテゴリー名  ###[competence_category_name_4]###,力量カテゴリー名  ###[competence_category_name_5]###,力量カテゴリー名  ###[competence_category_name_6]###,力量カテゴリー名  ###[competence_category_name_7]###,力量カテゴリー名  ###[competence_category_name_8]###,力量カテゴリー名  ###[competence_category_name_9]###,力量カテゴリー名  ###[competence_category_name_10]###,力量カテゴリー名  ###[competence_category_name_11]###,力量カテゴリー名  ###[competence_category_name_12]###,力量カテゴリー名  ###[competence_category_name_13]###,力量カテゴリー名  ###[competence_category_name_14]###,力量カテゴリー名  ###[competence_category_name_15]###,力量カテゴリー名  ###[competence_category_name_16]###,力量カテゴリー名  ###[competence_category_name_17]###,力量カテゴリー名  ###[competence_category_name_18]###,力量カテゴリー名  ###[competence_category_name_19]###,力量カテゴリー名  ###[competence_category_name_20]###
CTG100000000,業務スキル,,,,,,,,,,,,,,,,,,,
CTG101000000,業務スキル,開発技術,,,,,,,,,,,,,,,,,,
CTG101010000,業務スキル,開発技術,システム設計,,,,,,,,,,,,,,,,,
CTG101010100,業務スキル,開発技術,システム設計,製品要求分析,,,,,,,,,,,,,,,,
CTG101010200,業務スキル,開発技術,システム設計,システム方式設計,,,,,,,,,,,,,,,,
CTG101010300,業務スキル,開発技術,システム設計,MBSE/MBD,,,,,,,,,,,,,,,,
CTG101020000,業務スキル,開発技術,構想設計,,,,,,,,,,,,,,,,,
CTG101020100,業務スキル,開発技術,構想設計,機構／構造設計（メカ）,,,,,,,,,,,,,,,,
CTG101020300,業務スキル,開発技術,構想設計,構想設計（ハード）,,,,,,,,,,,,,,,,
CTG101020500,業務スキル,開発技術,構想設計,要求分析（ソフト）,,,,,,,,,,,,,,,,
CTG101020600,業務スキル,開発技術,構想設計,構想設計（ソフト）,,,,,,,,,,,,,,,,
CTG101020700,業務スキル,開発技術,構想設計,ソフト仕様,,,,,,,,,,,,,,,,
CTG101020800,業務スキル,開発技術,構想設計,アーキテクチャ設計（ソフト）,,,,,,,,,,,,,,,,
CTG101020900,業務スキル,開発技術,構想設計,MBSE/MBD,,,,,,,,,,,,,,,,
