力量コード  ###[skill_code]###,力量名  ###[skill_name]###,力量カテゴリーコード  ###[competence_category_code]###,力量カテゴリー,力量レベルパターンコード ###[competence_scale_code]###,もうすぐ有効期限切れ（有効期限の〇日前）  ###[notify_expiration_timing_date_before]###,メール通知  ###[notify_email]###,概要  ###[overview]###,URL  ###[urls]###,有効期限切れの表示  ###[expired_highlight]###,管理者への公開  ###[competence_publish_type]###,使用プロジェクト,使用できるプロジェクト,使用力量マップ,有効期間の指定  ###[calculation_switch_type]###,有効期間の種類  ###[calculation_type]###,有効期間（年数）  ###[period_years]###,有効期間（月数）  ###[period_months]###,有効期間（暦月）  ###[specified_month]###,有効期間（日）  ###[date_type]###,有効期限の自動計算  ###[auto_calculation_enabled]###,有効期限の手動修正  ###[changeable_after_calculation]###,[育成計画の初期値]概要  ###[initial_value_training_plan_overview]###,[育成計画の初期値]内部講師（メンバーコード）  ###[initial_value_training_plan_internal_lecturer_code]###,[育成計画の初期値]社外講師  ###[initial_value_training_plan_external_lecturer_name]###,[育成計画の初期値]有効性評価の方法  ###[initial_value_training_plan_effectiveness_evaluation_method]###,[育成計画の初期値]受講者による受講結果の編集  ###[initial_value_training_plan_edit_individual_record_by_attendees]###,[育成計画の初期値]他プロジェクトによる受講結果の編集  ###[initial_value_training_plan_edit_individual_record_by_other_projects]###
SKL00001,商品仕様策定（システム要求定義）,CTG101010100,業務スキル＞開発技術＞システム設計＞製品要求分析,SKILL_DEFAULT,0,通知しない,"ステークホルダ要求仕様(商品仕様)を実現する、機能コンセプトを発想し纏めた上で、システムの要求(性能値)を定義し、「システム要求仕様書」に落とし込める。
必要であれば、ステークホルダ要求への見直し折衝を含む。",,強調する,全メンバーに公開,"01_確認用 , 00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 2G-スキル・知識 , 3G-スキル・知識 , 4G-スキル、知識 , 5SEC-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , サンプルデータ , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 1G-スキル・知識 , 4SEC-スキル・知識 , 5G1SEC-スキル・知識 , 3G1-スキル・知識 , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 2G2SEC-スキル・知識 , 2G3SEC-スキル・知識 , 3G3-スキル・知識 , 4G1SECｰスキル、知識 , 4G2SECｰスキル、知識 , 4G3SECｰスキル、知識 , 1SEC-スキル・知識 , 新技術推進部ースキル , 2SEC-スキル・知識 , 3SEC-スキル・知識 , 3G2-スキル・知識 , プロトSEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00002,システム構想設計,CTG101010200,業務スキル＞開発技術＞システム設計＞システム方式設計,SKILL_DEFAULT,0,通知しない,"・システム要求を基に、システムの機能と物理構造を決めて、「システム設計仕様」に落とすことができる
※メカ・ハード・ソフトの役割分担が決定できる",,強調する,全メンバーに公開,"01_確認用 , 00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , サンプルデータ , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 1G-スキル・知識 , 4SEC-スキル・知識 , 5SEC-スキル・知識 , 5G1SEC-スキル・知識 , 3G1-スキル・知識 , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 2G2SEC-スキル・知識 , 2G3SEC-スキル・知識 , 3G3-スキル・知識 , 4G1SECｰスキル、知識 , 4G2SECｰスキル、知識 , 4G3SECｰスキル、知識 , 1SEC-スキル・知識 , 新技術推進部ースキル , 2SEC-スキル・知識 , 3SEC-スキル・知識 , 3G2-スキル・知識 , プロトSEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00230,システム方式設計と要求管理,CTG101010300,業務スキル＞開発技術＞システム設計＞MBSE/MBD,SKILL_DEFAULT,0,通知しない,"システム(商品)に対する要求を分析し、論理アーキ・物理アーキを設計できる。要求を紐づけられる。
指定ツール：System Composer,Requirement Toolbox",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , ロボチームースキル , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 1G-スキル・知識 , 4SEC-スキル・知識 , 5SEC-スキル・知識 , 5G1SEC-スキル・知識 , 3G1-スキル・知識 , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 2G2SEC-スキル・知識 , 2G3SEC-スキル・知識 , 3G3-スキル・知識 , 4G1SECｰスキル、知識 , 4G2SECｰスキル、知識 , 4G3SECｰスキル、知識 , 1SEC-スキル・知識 , 新技術推進部ースキル , 2SEC-スキル・知識 , 3SEC-スキル・知識 , 3G2-スキル・知識 , プロトSEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00050,モータ要求仕様作成,CTG101020000,業務スキル＞開発技術＞構想設計,SKILL_DEFAULT,0,通知しない,システム・製品からの要求を基に、モータの要求仕様を纏めることができる,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 1G-スキル・知識 , 4SEC-スキル・知識 , 5SEC-スキル・知識 , 5G1SEC-スキル・知識 , 3G1-スキル・知識 , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 2G2SEC-スキル・知識 , 2G3SEC-スキル・知識 , 3G3-スキル・知識 , 4G1SECｰスキル、知識 , 4G2SECｰスキル、知識 , 4G3SECｰスキル、知識 , 1SEC-スキル・知識 , 新技術推進部ースキル , 2SEC-スキル・知識 , 3SEC-スキル・知識 , 3G2-スキル・知識 , プロトSEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00003,機構/構造設計,CTG101020100,業務スキル＞開発技術＞構想設計＞機構／構造設計（メカ）,SKILL_DEFAULT,0,通知しない,"システム設計仕様に基づき、メカの要求仕様を決定する。
要求仕様に基づき、3D-CADを用いて設計を行い、「メカ設計仕様」に落とすことができる",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"5G4SEC-スキル・知識 , 3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 1G-スキル・知識 , 4SEC-スキル・知識 , 5SEC-スキル・知識 , 5G1SEC-スキル・知識 , 3G1-スキル・知識 , 5G2SEC-スキル・知識 , 5G3SEC-スキル・知識 , 2G3SEC-スキル・知識 , 4G1SECｰスキル、知識 , 4G2SECｰスキル、知識 , 1SEC-スキル・知識 , 新技術推進部ースキル , 2SEC-スキル・知識 , 3SEC-スキル・知識 , 3G2-スキル・知識 , プロトSEC-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00005,ハード構想設計,CTG101020300,業務スキル＞開発技術＞構想設計＞構想設計（ハード）,SKILL_DEFAULT,0,通知しない,"概略製品構成(システム構成図や機能ブロック図）からハードの機能ブロック図を構成できる。
機能ブロック図には、主要デバイス構成、デバイス間の接続方式等を含み、選定理由が明確になっている。
設計規模はFMC相当を基準として考える。ハード構成の半分以上が刷新または再検討の対象となっているものを目安とする。",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 5G-スキル・知識 , 開発本部－スキル・知識 , 3G1-スキル・知識 , 2G2SEC-スキル・知識 , 3G3-スキル・知識 , 新技術推進部ースキル , 4G3SECｰスキル、知識 , 3G2-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00007,機能・非機能要件定義,CTG101020500,業務スキル＞開発技術＞構想設計＞要求分析（ソフト）,SKILL_DEFAULT,0,通知しない,"・顧客要望、メカ・ハードの要求から、ソフトの機能・非機能要件に落とし込み、USDMの要求を抽出できる
・非機能要件として、セキュリティに対する要件が抽出できる
＊システム全体のセキュリティリスクアセスメントが実施でき、リスク度に応じて、対応方針と要件を定義することができる。
※非機能要件は、品質特性や制約条件を明確にすることで、性能（パフォーマンス）、可用性、拡張性、保守性、セキュリティ、ユーザビリティ、法令・規制対応 があり、セキュリティも含まれる",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 3G1-スキル・知識 , 2G2SEC-スキル・知識 , 3G3-スキル・知識 , 4G3SECｰスキル、知識 , 新技術推進部ースキル , 3G2-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00012,ソフト全体構成設計,CTG101020600,業務スキル＞開発技術＞構想設計＞構想設計（ソフト）,SKILL_DEFAULT,0,通知しない,"・ネットワーク等で接続されている複数のソフトコンポーネントの各コンポーネントの役割分担を適切にできる（システム構成図）
・ソフトコンポーネント：アプリ(PC/Web/モバイル)、ドライバ、ファーム、サーバ等の単位
・役割分担された各コンポーネントの機能・非機能要件に対して実現性のある方案への落とし込みとボリュームだしが出来る",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"4G-スキル、知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 2G2SEC-スキル・知識 , 3G3-スキル・知識 , 新技術推進部ースキル , 4G3SECｰスキル、知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00011,ソフト仕様策定,CTG101020700,業務スキル＞開発技術＞構想設計＞ソフト仕様,SKILL_DEFAULT,0,通知しない,機能・非機能要件定義で定義されら要求仕様に基づき、詳細なソフト仕様項目（入力条件、出力条件、制約事項等のソフトの振舞い）に落とし、USDM等のソフト仕様書を作成できる。,,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"3G-スキル・知識 , 4G-スキル、知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 3G1-スキル・知識 , 2G2SEC-スキル・知識 , 3G3-スキル・知識 , 4G3SECｰスキル、知識 , 新技術推進部ースキル , 3G2-スキル・知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
SKL00013,ソフト構造設計,CTG101020800,業務スキル＞開発技術＞構想設計＞アーキテクチャ設計（ソフト）,SKILL_DEFAULT,0,通知しない,"・ソフトアーキテクチャ特性を基に、適切なソフトアーキテクチャの設計ができる（DFD、モジュール構成図、ファイル構造図、アーキテクチャブロック図、タスク相関図等）
・ソフトウェア内部の構造やモジュール分割やモジュール間の関係性等を設計し、どのように実装していくかを定義する
【ソフトアーキテクチャ特性】
・運用特性：可用性、パフォーマンス、信頼性、堅牢性、スケーラビリティ
・構造特性：構造容易性、拡張性、移植性、ローカライゼーション、可搬性、アップグレード容易性",,強調する,全メンバーに公開,"00_開発本部 , 新技術推進部 , 第1設計G , 第2設計G , 第3設計G , 第4設計G , 第5設計G , 第6設計G , データ移行用",すべてのプロジェクトで使用可能,"4G-スキル、知識 , 2G-スキル・知識 , 5G5SEC-スキル・知識 , 2G1SEC-スキル・知識 , 開発本部－スキル・知識 , 第2SEC－スキル・知識 , 6G－スキル・知識 , 第1SEC－スキル・知識 , 2G2SEC-スキル・知識 , 3G3-スキル・知識 , 新技術推進部ースキル , 4G3SECｰスキル、知識",指定しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
