力量コード  ###[education_code]###,力量名  ###[education_name]###,力量カテゴリーコード  ###[competence_category_code]###,力量カテゴリー,力量レベルパターンコード ###[competence_scale_code]###,もうすぐ有効期限切れ（有効期限の〇日前）  ###[notify_expiration_timing_date_before]###,メール通知  ###[notify_email]###,概要  ###[overview]###,URL  ###[urls]###,有効期限切れの表示  ###[expired_highlight]###,管理者への公開  ###[competence_publish_type]###,学習形態  ###[learning_form]###,提供者  ###[provider]###,カリキュラム  ###[curriculum]###,対象者  ###[target]###,場所  ###[place]###,費用  ###[cost]###,受講期間  ###[course_period]###,学習時間（時間）  ###[learning_hour]###,学習時間（分）  ###[learning_time]###,社外講師  ###[external_lecturer]###,使用プロジェクト,使用できるプロジェクト,使用力量マップ,有効期間の指定  ###[calculation_switch_type]###,有効期間の種類  ###[calculation_type]###,有効期間（年数）  ###[period_years]###,有効期間（月数）  ###[period_months]###,有効期間（暦月）  ###[specified_month]###,有効期間（日）  ###[date_type]###,有効期限の自動計算  ###[auto_calculation_enabled]###,有効期限の手動修正  ###[changeable_after_calculation]###,[育成計画の初期値]概要  ###[initial_value_training_plan_overview]###,[育成計画の初期値]目的  ###[initial_value_training_plan_purpose]###,[育成計画の初期値]開催場所  ###[initial_value_training_plan_venue]###,[育成計画の初期値]方法  ###[initial_value_training_plan_method]###,[育成計画の初期値]内部講師（メンバーコード）  ###[initial_value_training_plan_internal_lecturer_code]###,[育成計画の初期値]社外講師  ###[initial_value_training_plan_external_lecturer_name]###,[育成計画の初期値]所要時間（時間）  ###[initial_value_training_plan_required_time_hour]###,[育成計画の初期値]所要時間（分）  ###[initial_value_training_plan_required_time_minute]###,[育成計画の初期値]有効性評価の方法  ###[initial_value_training_plan_effectiveness_evaluation_method]###,[育成計画の初期値]有効性評価の結果  ###[initial_value_training_plan_effectiveness_evaluation_result]###,[育成計画の初期値]課題  ###[initial_value_training_plan_improvement]###,[育成計画の初期値]受講者による受講結果の編集  ###[initial_value_training_plan_edit_individual_record_by_attendees]###,[育成計画の初期値]他プロジェクトによる受講結果の編集  ###[initial_value_training_plan_edit_individual_record_by_other_projects]###
z_vstest,【動画視聴】被覆アーク溶接作業（初級）,C0114,全社共通力量＞教育＞eラーニング,EDUCATION_DEFAULT,0,通知しない,,https://app.videostep.io/manuals/a131b880-60b6-4d72-adf8-9d6d4242701f,強調する,全メンバーに公開,動画マニュアル,,,,,0,,0,1,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,検証（VideoStep）,指定しない,,,,,,,,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
EoVLVUrdNKLLNd7nRyST,課長職マネジメント研修,C0112,全社共通力量＞教育＞階層別研修,EDUCATION_DEFAULT,0,通知しない,,,強調する,全メンバーに公開,,,,,,0,,0,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,,指定しない,,,,,,,,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
bkAnDgKqdpriuLK0cr7J,子力量_テスト3（レベル2）,"C01,C02","全社共通力量,製造部",EDUCATION_DEFAULT,30,通知しない,,,強調する,全メンバーに公開,,,,,,0,,0,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,01_製造部_力量マップ,指定する,期間を指定,0,1,,,自動計算する,手動修正しない,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
xQ9v5KcZ5BFZZvdnwegp,子力量_テスト2（レベル1）,"C01,C02","全社共通力量,製造部",EDUCATION_DEFAULT,0,通知しない,,,強調する,全メンバーに公開,,,,,,0,,0,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,01_製造部_力量マップ,指定しない,,,,,,,,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
2tZ3wvc4GWMNXQL3EHXx,子力量_テスト1（レベル1）,"C01,C02","全社共通力量,製造部",EDUCATION_DEFAULT,0,通知しない,,,強調する,全メンバーに公開,,,,,,0,,0,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,01_製造部_力量マップ,指定しない,,,,,,,,,,,,,,,,,,,閲覧のみ,登録と承認申請両方
9AzGum1d12stXWAEvqfQ,QC7つ道具,C0113,全社共通力量＞教育＞職種別研修,EDUCATION_DEFAULT,0,通知しない,,,強調する,全メンバーに公開,,,,,,0,,0,0,,"12_営業部 , 99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,,指定しない,,,,,,,,,,,,,,,,,,,,
HqGDsguKkD3e9mQymvTm,品質管理基礎,C0113,全社共通力量＞教育＞職種別研修,EDUCATION_DEFAULT,0,通知しない,,,強調する,全メンバーに公開,,,,,,0,,0,0,,"03_品質保証部 , 99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,"研修マップ , 品質保証部＿全社研修マップ",指定しない,,,,,,,,,,,,,,,,,,,,
D01-e07,3D CAD OJT教育(中級）,D01,設計部＞図面要素,EDUCATION_DEFAULT,0,通知しない,"初級レベル（3D CADを用いて一般的な図面をトレースができる能力を有する）に加え、専門分野に応じた図面の読取り・製図ができる能力を有する。
作図形状：複雑形状のモデル作成ができる",,強調する,全メンバーに公開,,,,,,0,,0,0,,"99 TEST , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,,指定しない,,,,,,,,,,,,,,,,,,,,
D01-e06,3D CAD OJT教育(初級）,D01,設計部＞図面要素,EDUCATION_DEFAULT,0,通知しない,3D CADを用いて一般的な図面をトレースができる能力を有する,,強調する,全メンバーに公開,,,,,,0,,0,0,,"99 TEST , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,,指定しない,,,,,,,,,,,,,,,,,,,,
D01-e05,3D CAD OJT教育(基礎),D01,設計部＞図面要素,EDUCATION_DEFAULT,0,通知しない,3D　CADソフトを使用する為の基礎知識（コマンド、線種、設定、レイヤ等)教育,,強調する,全メンバーに公開,テキスト,,,,,0,,3,0,,"99 TEST , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,,指定しない,,,,,,,,,,,,,,,,,,,,
D01-e04,実務経験(1年）,D01,設計部＞図面要素,EDUCATION_DEFAULT,0,通知しない,CADを使用し実務経験を積む,,強調する,全メンバーに公開,,,,,,0,,0,0,,"99 TEST , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,,指定しない,,,,,,,,,,,,,,,,,,,,
D01-e03,2D CAD OJT教育(中級）,D01,設計部＞図面要素,EDUCATION_DEFAULT,0,通知しない,"初級レベル（2D CADを用いて一般的な図面をトレースができる能力を有する）に加え、専門分野に応じた図面の読取り・製図ができる能力を有する。
作図形状：複雑形状のモデル作成ができる

2022/4/1 システムのバージョンアップにより、設定値を修正
2020/10/1 システムのバージョンアップにより、設定値を修正",,強調する,全メンバーに公開,,,,,,0,,2,0,,"99 TEST , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,,指定しない,,,,,,,,,,,,,,,,,,,,
D01-e02,2D CAD OJT教育(初級）,D01,設計部＞図面要素,EDUCATION_DEFAULT,0,通知しない,2D CADを用いて一般的な図面をトレースができる能力を有する,,強調する,全メンバーに公開,添付テキスト,,,,,0,,1,0,,"99 TEST , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,,指定しない,,,,,,,,,,,,,,,,,,,,
D01-e01,2D CAD OJT教育(基礎),D01,設計部＞図面要素,EDUCATION_DEFAULT,0,通知しない,2D　CADソフトを使用する為の基礎知識（コマンド、線種、設定等)教育,,強調する,全メンバーに公開,添付テキスト,,,,,0,,3,0,,"99 TEST , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,,指定しない,,,,,,,,,,,,,,,,,,,,
nintei-e1,受入検査員OJT教育,O026,製造部＞社内認定資格,EDUCATION_DEFAULT,180,通知する,,,強調する,全メンバーに公開,,,,,,0,,0,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,,指定する,期間を指定,1,0,,,自動計算しない,手動修正する,,,,,,,,,,,,,
nintei-e2,受入検査員認定教育,O026,製造部＞社内認定資格,EDUCATION_DEFAULT,180,通知する,,,強調する,全メンバーに公開,,,,,,0,,0,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,,指定する,期間を指定,1,0,,,自動計算しない,手動修正する,,,,,,,,,,,,,
nintei-e3,受入検査員指導者OJT教育,O026,製造部＞社内認定資格,EDUCATION_DEFAULT,180,通知する,,,強調する,全メンバーに公開,,,,,,0,,0,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,,指定する,期間を指定,1,0,,,自動計算しない,手動修正する,,,,,,,,,,,,,
nintei-e4,受入検査員指導者認定教育,O026,製造部＞社内認定資格,EDUCATION_DEFAULT,180,通知する,,,強調する,全メンバーに公開,,,,,,0,,0,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,,指定する,期間を指定,1,0,,,自動計算しない,手動修正する,,,,,,,,,,,,,
nintei-e5,工程内検査員OJT教育,O026,製造部＞社内認定資格,EDUCATION_DEFAULT,180,通知する,,,強調する,全メンバーに公開,,,,,,0,,0,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,,指定する,期間を指定,1,0,,,自動計算しない,手動修正する,,,,,,,,,,,,,
nintei-e6,工程内検査員認定教育,O026,製造部＞社内認定資格,EDUCATION_DEFAULT,180,通知する,,,強調する,全メンバーに公開,,,,,,0,,0,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,,指定する,期間を指定,1,0,,,自動計算しない,手動修正する,,,,,,,,,,,,,
nintei-e7,工程内検査員指導者OJT教育,O026,製造部＞社内認定資格,EDUCATION_DEFAULT,180,通知する,,,強調する,全メンバーに公開,,,,,,0,,0,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,,指定する,期間を指定,1,0,,,自動計算しない,手動修正する,,,,,,,,,,,,,
nintei-e8,工程内検査員指導者認定教育,O026,製造部＞社内認定資格,EDUCATION_DEFAULT,180,通知する,,,強調する,全メンバーに公開,,,,,,0,,0,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,,指定する,期間を指定,1,0,,,自動計算しない,手動修正する,,,,,,,,,,,,,
nintei-e9,出荷検査員OJT教育,O026,製造部＞社内認定資格,EDUCATION_DEFAULT,180,通知する,,,強調する,全メンバーに公開,,,,,,0,,0,0,,"99 TEST , 31_B機器 , 30_A機器 , 01_製造部 , 06_設計部 , 13_筑波サービスセンタ",すべてのプロジェクトで使用可能,,指定する,期間を指定,1,0,,,自動計算しない,手動修正する,,,,,,,,,,,,,
